OBJECTID,DESCRIPTION,ID,MP14029A_B,MP14029A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1627,95977 (Smartsville),95977,228,113,113,133058750.0,94585.48268639762,1756054077356,Synapse54,1756054077356,Synapse54
1628,95978 (Stirling City),95978,35,114,114,5045000.0,11068.896978561097,1756054077356,Synapse54,1756054077356,Synapse54
1629,95979 (Stonyford),95979,83,110,110,1379040000.0,212173.33007955065,1756054077356,Synapse54,1756054077356,Synapse54
1630,95981 (Strawberry Valley),95981,30,102,102,1072007500.0,212188.90942934467,1756054077356,Synapse54,1756054077356,Synapse54
1631,95982 (Sutter),95982,396,114,114,310490000.0,129793.4918860414,1756054077356,Synapse54,1756054077356,Synapse54
1632,95983 (Taylorsville),95983,40,123,123,478041250.0,179058.54220855024,1756054077356,Synapse54,1756054077356,Synapse54
1633,95984 (Twain),95984,19,129,129,496276250.0,169788.81439838515,1756054077356,Synapse54,1756054077356,Synapse54
1634,95987 (Williams),95987,646,106,106,1507826250.0,214977.6526284945,1756054077356,Synapse54,1756054077356,Synapse54
1635,95988 (Willows),95988,931,103,103,1847288750.0,271472.87235339556,1756054077356,Synapse54,1756054077356,Synapse54
1636,95991 (Yuba City),95991,4652,107,107,179482500.0,100651.52950765089,1756054077356,Synapse54,1756054077356,Synapse54
1637,95993 (Yuba City),95993,4149,105,105,356576250.0,91511.11117874125,1756054077356,Synapse54,1756054077356,Synapse54
1638,96001 (Redding),96001,3787,103,103,464295475.64453125,203090.12987046404,1756054077356,Synapse54,1756054077356,Synapse54
1639,96002 (Redding),96002,3761,103,103,137482500.0,61919.42863440633,1756054077356,Synapse54,1756054077356,Synapse54
1640,96003 (Redding),96003,5075,104,104,558244431.8242188,290745.471164651,1756054077356,Synapse54,1756054077356,Synapse54
1641,96006 (Adin),96006,25,110,110,14272500.0,18505.68479481239,1756054077356,Synapse54,1756054077356,Synapse54
1642,96007 (Anderson),96007,2585,104,104,554560000.0,190530.45748281383,1756054077356,Synapse54,1756054077356,Synapse54
1643,96008 (Bella Vista),96008,170,104,104,307155000.0,156503.05475430202,1756054077356,Synapse54,1756054077356,Synapse54
1644,96009 (Bieber),96009,30,111,111,7697500.0,13801.486383987241,1756054077356,Synapse54,1756054077356,Synapse54
1645,96010 (Big Bar),96010,28,110,110,793493750.0,187588.37351085432,1756054077356,Synapse54,1756054077356,Synapse54
1646,96013 (Burney),96013,450,104,104,1529292500.0,297058.2694646901,1756054077356,Synapse54,1756054077356,Synapse54
1647,96014 (Callahan),96014,29,112,112,608261250.0,239598.3630543971,1756054077356,Synapse54,1756054077356,Synapse54
1648,96015 (Canby),96015,38,112,112,1526682500.0,252912.52624768842,1756054077356,Synapse54,1756054077356,Synapse54
1649,96016 (Cassel),96016,56,111,111,252056250.0,92421.57931006292,1756054077356,Synapse54,1756054077356,Synapse54
1650,96017 (Castella),96017,2,124,124,71351250.0,60414.1190763448,1756054077356,Synapse54,1756054077356,Synapse54
1651,96019 (Shasta Lake),96019,1020,97,97,54131250.0,45129.41441526073,1756054077356,Synapse54,1756054077356,Synapse54
1652,96020 (Chester),96020,245,92,92,1401717500.0,300240.6630942751,1756054077356,Synapse54,1756054077356,Synapse54
1653,96021 (Corning),96021,1889,107,107,2629053750.0,393337.9323249084,1756054077356,Synapse54,1756054077356,Synapse54
1654,96022 (Cottonwood),96022,1825,106,106,1369197500.0,302997.9129606354,1756054077356,Synapse54,1756054077356,Synapse54
1655,96023 (Dorris),96023,103,92,92,714516250.0,138776.75140235134,1756054077356,Synapse54,1756054077356,Synapse54
1656,96024 (Douglas City),96024,125,111,111,664108750.0,153138.37081977248,1756054077356,Synapse54,1756054077356,Synapse54
1657,96025 (Dunsmuir),96025,277,112,112,390286250.0,129498.01126336463,1756054077356,Synapse54,1756054077356,Synapse54
1658,96027 (Etna),96027,270,108,108,1102635000.0,238205.70070883504,1756054077356,Synapse54,1756054077356,Synapse54
1659,96028 (Fall River Mills),96028,181,104,104,592877500.0,156850.25489993015,1756054077356,Synapse54,1756054077356,Synapse54
1660,96031 (Forks of Salmon),96031,24,114,114,1863326250.0,345431.8875706986,1756054077356,Synapse54,1756054077356,Synapse54
1661,96032 (Fort Jones),96032,307,107,107,1376147500.0,310696.1350548878,1756054077356,Synapse54,1756054077356,Synapse54
1662,96033 (French Gulch),96033,53,111,111,961601250.0,218215.1786238145,1756054077356,Synapse54,1756054077356,Synapse54
1663,96034 (Gazelle),96034,21,101,101,475455000.0,173796.11898438673,1756054077356,Synapse54,1756054077356,Synapse54
1664,96035 (Gerber),96035,399,104,104,209581250.0,71261.57645058111,1756054077356,Synapse54,1756054077356,Synapse54
1665,96038 (Grenada),96038,74,102,102,105448750.0,58904.25464075483,1756054077356,Synapse54,1756054077356,Synapse54
1666,96039 (Happy Camp),96039,136,121,121,616602500.0,212283.2084846342,1756054077356,Synapse54,1756054077356,Synapse54
1667,96040 (Hat Creek),96040,23,110,110,497821250.0,157912.5103524775,1756054077356,Synapse54,1756054077356,Synapse54
1668,96041 (Hayfork),96041,636,97,97,1274428750.0,343131.33397943684,1756054077356,Synapse54,1756054077356,Synapse54
1669,96044 (Hornbrook),96044,123,104,104,569426250.0,163144.323657456,1756054077356,Synapse54,1756054077356,Synapse54
1670,96046 (Hyampom),96046,35,110,110,610713750.0,185011.80265569696,1756054077356,Synapse54,1756054077356,Synapse54
1671,96047 (Igo),96047,100,103,103,984718750.0,194967.34056665062,1756054077356,Synapse54,1756054077356,Synapse54
1672,96048 (Junction City),96048,73,110,110,574882500.0,183664.8350916964,1756054077356,Synapse54,1756054077356,Synapse54
1673,96050 (Klamath River),96050,63,110,110,1299045000.0,290378.5004783238,1756054077356,Synapse54,1756054077356,Synapse54
1674,96051 (Lakehead),96051,171,111,111,2189388750.0,386544.29139290703,1756054077356,Synapse54,1756054077356,Synapse54
1675,96052 (Lewiston),96052,207,111,111,1385233750.0,405640.7421213044,1756054077356,Synapse54,1756054077356,Synapse54
1676,96054 (Lookout),96054,43,112,112,1542418750.0,235170.83623767184,1756054077356,Synapse54,1756054077356,Synapse54
1677,96055 (Los Molinos),96055,407,94,94,145266250.0,64568.89209064573,1756054077356,Synapse54,1756054077356,Synapse54
1678,96056 (McArthur),96056,265,110,110,9628515000.0,669724.899739076,1756054077356,Synapse54,1756054077356,Synapse54
1679,96057 (McCloud),96057,155,111,111,877731250.0,186283.98488754456,1756054077356,Synapse54,1756054077356,Synapse54
1680,96058 (Macdoel),96058,64,102,102,2623386250.0,299137.3868757153,1756054077356,Synapse54,1756054077356,Synapse54
1681,96059 (Manton),96059,74,111,111,263906250.0,148853.33071670646,1756054077356,Synapse54,1756054077356,Synapse54
1682,96061 (Mill Creek),96061,26,109,109,533728750.0,149482.89802018428,1756054077356,Synapse54,1756054077356,Synapse54
1683,96062 (Millville),96062,113,104,104,276408750.0,146676.29981120458,1756054077356,Synapse54,1756054077356,Synapse54
1684,96063 (Mineral),96063,0,0,0,1893750.0,8451.042941590138,1756054077356,Synapse54,1756054077356,Synapse54
1685,96064 (Montague),96064,504,104,104,2839401250.0,329000.7372226487,1756054077356,Synapse54,1756054077356,Synapse54
1686,96065 (Montgomery Creek),96065,102,110,110,2652989318.1796875,384832.8578125145,1756054077356,Synapse54,1756054077356,Synapse54
1687,96067 (Mount Shasta),96067,805,100,100,793007500.0,173375.4423341251,1756054077356,Synapse54,1756054077356,Synapse54
1688,96069 (Oak Run),96069,137,108,108,702320000.0,231044.09428801696,1756054077356,Synapse54,1756054077356,Synapse54
1689,96071 (Old Station),96071,20,113,113,1254136250.0,182410.64371128715,1756054077356,Synapse54,1756054077356,Synapse54
1690,96073 (Palo Cedro),96073,532,104,104,122960000.0,100272.44808544293,1756054077356,Synapse54,1756054077356,Synapse54
1691,96075 (Paynes Creek),96075,49,111,111,588265000.0,159167.95227090997,1756054077356,Synapse54,1756054077356,Synapse54
1692,96076 (Platina),96076,29,99,99,791805000.0,225953.59661009014,1756054077356,Synapse54,1756054077356,Synapse54
1693,96080 (Red Bluff),96080,3101,100,100,4736715000.0,612058.700550242,1756054077356,Synapse54,1756054077356,Synapse54
1694,96085 (Scott Bar),96085,5,120,120,75361250.0,51497.4371374441,1756054077356,Synapse54,1756054077356,Synapse54
1695,96086 (Seiad Valley),96086,9,108,108,88325000.0,53120.76537105016,1756054077356,Synapse54,1756054077356,Synapse54
1696,96087 (Shasta),96087,62,109,109,19465550.0,28271.149039505268,1756054077356,Synapse54,1756054077356,Synapse54
1697,96088 (Shingletown),96088,634,110,110,1129358750.0,247805.3507386457,1756054077356,Synapse54,1756054077356,Synapse54
1698,96089 (Shasta Lake),96089,20,113,113,158750.0,1707.030704619254,1756054077356,Synapse54,1756054077356,Synapse54
1699,96091 (Trinity Center),96091,64,111,111,2244197500.0,418311.0704811485,1756054077356,Synapse54,1756054077356,Synapse54
1700,96093 (Weaverville),96093,378,94,94,147050000.0,78380.45686540616,1756054077356,Synapse54,1756054077356,Synapse54
1701,96094 (Weed),96094,771,102,102,807996250.0,168294.25195304595,1756054077356,Synapse54,1756054077356,Synapse54
1702,96096 (Whitmore),96096,93,105,105,791768750.0,224383.7076268356,1756054077356,Synapse54,1756054077356,Synapse54
1703,96097 (Yreka),96097,1030,98,98,1068600000.0,330169.3656267031,1756054077356,Synapse54,1756054077356,Synapse54
1704,96101 (Alturas),96101,531,103,103,2647097500.0,326920.5392305595,1756054077356,Synapse54,1756054077356,Synapse54
1705,96103 (Blairsden Graeagle),96103,201,98,98,814655000.0,165045.03490781685,1756054077356,Synapse54,1756054077356,Synapse54
1706,96104 (Cedarville),96104,73,112,112,1548511250.0,227764.67116517265,1756054077356,Synapse54,1756054077356,Synapse54
1707,96105 (Chilcoot),96105,61,112,112,550965000.0,112739.95077004189,1756054077356,Synapse54,1756054077356,Synapse54
1708,96106 (Clio),96106,42,97,97,69515000.0,40399.40783294157,1756054077356,Synapse54,1756054077356,Synapse54
1709,96107 (Coleville),96107,147,110,110,2254717500.0,250455.81678242635,1756054077356,Synapse54,1756054077356,Synapse54
1710,96108 (Davis Creek),96108,36,103,103,6203376250.0,497889.0832420906,1756054077356,Synapse54,1756054077356,Synapse54
1711,96109 (Doyle),96109,116,102,102,1028097500.0,211875.02650741086,1756054077356,Synapse54,1756054077356,Synapse54
1712,96110 (Eagleville),96110,6,120,120,4645000.0,13355.19408408132,1756054077356,Synapse54,1756054077356,Synapse54
1713,96111 (Floriston),96111,9,106,106,105836250.0,50745.17082847611,1756054077356,Synapse54,1756054077356,Synapse54
1714,96112 (Fort Bidwell),96112,26,109,109,630625000.0,139546.5780661332,1756054077356,Synapse54,1756054077356,Synapse54
1715,96113 (Herlong),96113,182,96,96,1434666250.0,211781.3857529909,1756054077356,Synapse54,1756054077356,Synapse54
1716,96114 (Janesville),96114,331,100,100,1198237500.0,310870.1656209701,1756054077356,Synapse54,1756054077356,Synapse54
1717,96115 (Lake City),96115,25,112,112,1002008750.0,169131.23185894222,1756054077356,Synapse54,1756054077356,Synapse54
1718,96116 (Likely),96116,31,111,111,1463060000.0,243910.07788004164,1756054077356,Synapse54,1756054077356,Synapse54
1719,96117 (Litchfield),96117,12,95,95,333073750.0,101736.60553018218,1756054077356,Synapse54,1756054077356,Synapse54
1720,96118 (Loyalton),96118,133,90,90,396730000.0,141604.40716133287,1756054077356,Synapse54,1756054077356,Synapse54
1721,96119 (Madeline),96119,5,83,83,1139448750.0,175713.14174692525,1756054077356,Synapse54,1756054077356,Synapse54
1722,96120 (Markleeville),96120,131,111,111,1729126250.0,233883.53388553462,1756054077356,Synapse54,1756054077356,Synapse54
1723,96121 (Milford),96121,37,102,102,141433750.0,72754.25622807708,1756054077356,Synapse54,1756054077356,Synapse54
1724,96122 (Portola),96122,472,103,103,1446243750.0,343152.49351068353,1756054077356,Synapse54,1756054077356,Synapse54
1725,96123 (Ravendale),96123,7,85,85,2404976250.0,227362.4675596628,1756054077356,Synapse54,1756054077356,Synapse54
1726,96124 (Calpine),96124,49,111,111,797763750.0,157085.3208560872,1756054077356,Synapse54,1756054077356,Synapse54
1727,96125 (Sierra City),96125,37,111,111,189318750.0,103703.14989664375,1756054077356,Synapse54,1756054077356,Synapse54
1728,96126 (Sierraville),96126,57,100,100,1132352500.0,261264.149182042,1756054077356,Synapse54,1756054077356,Synapse54
1729,96128 (Standish),96128,22,96,96,33363750.0,29665.879777714592,1756054077356,Synapse54,1756054077356,Synapse54
1730,96129 (Beckwourth),96129,25,110,110,213317500.0,89171.71967562565,1756054077356,Synapse54,1756054077356,Synapse54
1731,96130 (Susanville),96130,1640,68,68,3781185000.0,501828.96885736525,1756054077356,Synapse54,1756054077356,Synapse54
1732,96132 (Termo),96132,8,87,87,1339411250.0,192269.9407858625,1756054077356,Synapse54,1756054077356,Synapse54
1733,96133 (Topaz),96133,18,107,107,264307500.0,98694.08188013076,1756054077356,Synapse54,1756054077356,Synapse54
1734,96134 (Tulelake),96134,210,109,109,2271126250.0,319769.510470627,1756054077356,Synapse54,1756054077356,Synapse54
1735,96136 (Wendel),96136,10,98,98,281755000.0,127145.42534435084,1756054077356,Synapse54,1756054077356,Synapse54
1736,96137 (Westwood),96137,210,98,98,129297500.0,98726.10728023955,1756054077356,Synapse54,1756054077356,Synapse54
1737,96140 (Carnelian Bay),96140,151,103,103,49025000.0,36372.92698125097,1756054077356,Synapse54,1756054077356,Synapse54
1738,96141 (Homewood),96141,97,108,108,91908750.0,85949.29706539145,1756054077356,Synapse54,1756054077356,Synapse54
1739,96142 (Tahoma),96142,124,112,112,58346250.0,41966.50295009932,1756054077356,Synapse54,1756054077356,Synapse54
1740,96143 (Kings Beach),96143,381,102,102,73241250.0,42188.43935674272,1756054077356,Synapse54,1756054077356,Synapse54
1741,96145 (Tahoe City),96145,366,102,102,660473750.0,202175.0149374511,1756054077356,Synapse54,1756054077356,Synapse54
1742,96146 (Olympic Valley),96146,125,100,100,33327500.0,29939.353867031747,1756054077356,Synapse54,1756054077356,Synapse54
1743,96148 (Tahoe Vista),96148,169,110,110,11633750.0,15606.541654056038,1756054077356,Synapse54,1756054077356,Synapse54
1744,96150 (South Lake Tahoe),96150,3368,105,105,926986250.0,174007.9089418281,1756054077356,Synapse54,1756054077356,Synapse54
1745,96161 (Truckee),96161,2160,103,103,845496250.0,191452.0911018678,1756054077356,Synapse54,1756054077356,Synapse54
1746,96162 (Truckee),96162,2,114,114,1845000.0,7582.739773315393,1756054077356,Synapse54,1756054077356,Synapse54
1747,00012 (Mt Meadows Area),00012,0,0,0,137521250.0,76875.69774992974,1756054077356,Synapse54,1756054077356,Synapse54
1748,00016 (Sequoia National Forest),00016,1,106,106,154306250.0,63668.544855978376,1756054077356,Synapse54,1756054077356,Synapse54
1749,00017 (Northeast Fresno County),00017,0,0,0,2313900000.0,330511.36818981776,1756054077356,Synapse54,1756054077356,Synapse54
1750,00018 (Los Padres Ntl Forest),00018,0,0,0,347607500.0,107094.36518423074,1756054077356,Synapse54,1756054077356,Synapse54
1751,00019 (Lassen Ntl Forest),00019,1,93,93,1855461250.0,212005.1674719632,1756054077356,Synapse54,1756054077356,Synapse54
1752,00020 (Sierra National Forest),00020,0,0,0,1603820000.0,219413.45714640716,1756054077356,Synapse54,1756054077356,Synapse54
1753,00022 (Jackson St Forest),00022,8,117,117,47792500.0,34399.20533874362,1756054077356,Synapse54,1756054077356,Synapse54
1754,00026 (East Tulare County),00026,5,113,113,5239428750.0,522077.81545398873,1756054077356,Synapse54,1756054077356,Synapse54
1755,00028 (Plumas Ntl Forest),00028,0,0,0,504135000.0,145104.8077119237,1756054077356,Synapse54,1756054077356,Synapse54
1756,00029 (Tahoe National Forest),00029,1,149,149,9528750.0,15064.037879563004,1756054077356,Synapse54,1756054077356,Synapse54
1757,00031 (Lassen National Forest),00031,0,0,0,302163750.0,86150.02025252634,1756054077356,Synapse54,1756054077356,Synapse54
1758,00032 (Los Padres Ntl Forest),00032,1,149,149,2159704464.9335938,347081.47852463974,1756054077356,Synapse54,1756054077356,Synapse54
1759,00033 (Tahoe National Forest),00033,1,83,83,190771250.0,69611.11786598674,1756054077356,Synapse54,1756054077356,Synapse54
1760,00034 (Klamath National Forest),00034,8,106,106,837803750.0,161726.52330750527,1756054077356,Synapse54,1756054077356,Synapse54
1761,00035 (Modoc/Shasta/Klamath Forest),00035,1,124,124,4098586250.0,434719.9718919622,1756054077356,Synapse54,1756054077356,Synapse54
1762,00037 (West Tehama County),00037,0,0,0,431391250.0,106676.8139679165,1756054077356,Synapse54,1756054077356,Synapse54
1763,00038 (East Tehama County),00038,4,99,99,1957460000.0,305114.6092074688,1756054077356,Synapse54,1756054077356,Synapse54
1764,00039 (Southeast Trinity County),00039,18,101,101,2952462500.0,522616.5150347691,1756054077356,Synapse54,1756054077356,Synapse54
1765,00040 (Yosemite Ntl Park),00040,1,74,74,1669541250.0,241948.77107168228,1756054077356,Synapse54,1756054077356,Synapse54
1766,00044 (South Alpine County),00044,1,74,74,1166870000.0,186956.0819804819,1756054077356,Synapse54,1756054077356,Synapse54
1767,00047 (West Glenn County),00047,0,0,0,659791250.0,123910.34897401954,1756054077356,Synapse54,1756054077356,Synapse54
1768,00048 (Mendocino Ntl Forest),00048,1,74,74,1045702500.0,227345.37634499095,1756054077356,Synapse54,1756054077356,Synapse54
1769,00049 (Six Rivers National Forest),00049,0,0,0,1378810000.0,262384.90199975786,1756054077356,Synapse54,1756054077356,Synapse54
1770,00050 (Six Rivers Ntl Forest),00050,0,0,0,692052500.0,170014.72760244642,1756054077356,Synapse54,1756054077356,Synapse54
1771,00051 (Eldorado Ntl Forest),00051,2,87,87,806575000.0,147600.15545967265,1756054077356,Synapse54,1756054077356,Synapse54
1772,00052 (Eldorado Ntl Forest),00052,0,0,0,241222500.0,112969.62178490032,1756054077356,Synapse54,1756054077356,Synapse54
1773,00054 (Six Rivers Ntl Forest),00054,0,0,0,715855000.0,204404.72935460208,1756054077356,Synapse54,1756054077356,Synapse54
